Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Muppets from Space,1999,G,14 Jul 1999,87 min,"Adventure, Comedy, Family",Tim Hill,"Jerry Juhl, Joey Mazzarino, Ken Kaufman","Dave Goelz, Steve Whitmire, Bill Barretta","Gonzo is contacted by his alien family through his breakfast cereal. But when the men in black kidnap him, it's up to Kermit and the gang to rescue Gonzo and help him reunite with his long-lost family.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BYjM2YmVlN2MtYTlmZS00Zjk1LTk1MWYtNTM4NmU0NTIwMTQ5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,6.2,"21,050",tt0158811,movie,N/A,"$16,625,807",N/A,N/A,True
The Wiz,1978,G,24 Oct 1978,134 min,"Adventure, Family, Fantasy",Sidney Lumet,"L. Frank Baum, William F. Brown, Joel Schumacher","Diana Ross, Michael Jackson, Nipsey Russell","When Harlem schoolteacher Dorothy is miraculously whisked away to an urban fantasy land called Oz, she goes in search of the Wiz, a wizard who can help her get back to Manhattan, along with the Scarecrow, the Tin Man and the Cowar...",English,United States,Nominated for 4 Oscars. 2 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BNDk3MjA2ZjItN2U5Ny00YjgwLTkyN2QtMmZkZDJmYzI1NGVlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,5.5,"18,290",tt0078504,movie,N/A,"$21,049,053",N/A,N/A,True
Ready to Rumble,2000,PG-13,07 Apr 2000,107 min,"Comedy, Sport",Brian Robbins,Steven Brill,"David Arquette, Oliver Platt, Scott Caan",Two slacker wrestling fans are devastated by the ousting of their favorite character by an unscrupulous promoter.,English,United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BMTYwMjYyOTA4OV5BMl5BanBnXkFtZTYwMDAyNjE3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '23/100'}]",23,5.3,"15,678",tt0217756,movie,N/A,"$12,394,327",N/A,N/A,True
Play It to the Bone,1999,R,21 Jan 2000,124 min,"Comedy, Drama, Sport",Ron Shelton,Ron Shelton,"Woody Harrelson, Antonio Banderas, Lolita Davidovich",Two best friends and former middleweight contenders travel to Las Vegas to fight each other for the first time.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTM2NjY1MTA2Nl5BMl5BanBnXkFtZTYwMzY2Mzc3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",32,5.5,"12,506",tt0196857,movie,N/A,"$8,434,146",N/A,N/A,True
I Don't Know How She Does It,2011,PG-13,16 Sep 2011,89 min,"Comedy, Romance",Douglas McGrath,"Aline Brosh McKenna, Allison Pearson","Sarah Jessica Parker, Pierce Brosnan, Kelsey Grammer","A comedy centered on the life of Kate Reddy, a finance executive who is the breadwinner for her husband and two kids.",English,United States,2 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMzUyNDY1Mzk0NV5BMl5BanBnXkFtZTcwNDQwODg2Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,5.0,"21,417",tt1742650,movie,N/A,"$9,662,284",N/A,N/A,True
Piranha 3D,2010,R,20 Aug 2010,88 min,"Comedy, Horror",Alexandre Aja,"Pete Goldfinger, Josh Stolberg","Elisabeth Shue, Jerry O'Connell, Richard Dreyfuss","After a sudden underwater tremor sets free scores of the prehistoric man-eating fish, an unlikely group of strangers must band together to stop themselves from becoming fish food for the area's new razor-toothed residents.",English,"France, Japan, United States",2 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BMTU3NDg2NTY4Nl5BMl5BanBnXkFtZTcwMTM0OTE3Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,5.5,"99,102",tt0464154,movie,N/A,"$25,003,155",N/A,N/A,True
Beyond the Sea,2004,PG-13,29 Dec 2004,118 min,"Biography, Drama, Music",Kevin Spacey,"Kevin Spacey, Lewis Colick","Kevin Spacey, Kate Bosworth, John Goodman","A swooning study of ""Mack the Knife"" singer Bobby Darin and specifically his relationship with wife Sandra Dee.","English, Italian","United Kingdom, Germany, United States",7 nominations total,https://m.media-amazon.com/images/M/MV5BMTY2MzI0ODE3NF5BMl5BanBnXkFtZTYwODI4NDM3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,6.7,"15,737",tt0363473,movie,N/A,"$6,318,709",N/A,N/A,True
Meet the Deedles,1998,PG,27 Mar 1998,93 min,"Comedy, Family, Sport",Steve Boyum,Jim Herzfeld,"Paul Walker, Steve Van Wormer, A.J. Langer",Two surfers end up as Yellowstone park rangers and have to stop a former ranger who is out for revenge.,English,United States,1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BYzM3ZjUzNzctNjQzNS00MjFjLWE2OTAtYzU2NDgxNzFiZWU4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}]",N/A,4.1,"3,251",tt0120645,movie,N/A,"$4,356,216",N/A,N/A,True
The Bridge of San Luis Rey,2004,PG,22 Dec 2004,120 min,"Drama, History, Romance",Mary McGuckian,"Mary McGuckian, Thornton Wilder","Gabriel Byrne, Robert De Niro, Harvey Keitel","In 1714 Peru, a friar is tried by the Inquisition for questioning God's intentions when five die in the collapse of an Andean rope bridge.",English,"United Kingdom, Spain, France",1 win,https://m.media-amazon.com/images/M/MV5BMjA0NDEwMTA2Nl5BMl5BanBnXkFtZTcwNjEyMTAzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '4%'}, {'Source': 'Metacritic', 'Value': '25/100'}]",25,5.0,"3,714",tt0356443,movie,N/A,"$49,981",N/A,N/A,True
Faster,2010,R,24 Nov 2010,98 min,"Action, Crime, Drama",George Tillman Jr.,"Tony Gayton, Joe Gayton","Dwayne Johnson, Billy Bob Thornton, Maggie Grace",An ex-con gets on a series of apparently unrelated killings. He gets tracked by a veteran cop with secrets of his own and an egocentric hit man.,English,United States,5 nominations total,https://m.media-amazon.com/images/M/MV5BMTMyOTQ5MTAxOF5BMl5BanBnXkFtZTcwOTYzMDg5Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,6.4,"115,045",tt1433108,movie,N/A,"$23,240,020",N/A,N/A,True
Howl's Moving Castle,2004,PG,17 Jun 2005,119 min,"Animation, Adventure, Family",Hayao Miyazaki,"Hayao Miyazaki, Diana Wynne Jones","Chieko Baishô, Takuya Kimura, Tatsuya Gashûin","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",Japanese,"Japan, United States",Nominated for 1 Oscar. 14 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BMTY1OTg0MjE3MV5BMl5BanBnXkFtZTcwNTUxMTkyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,8.2,"483,180",tt0347149,movie,N/A,"$9,173,958",N/A,N/A,True
Zombieland,2009,R,02 Oct 2009,88 min,"Action, Comedy, Horror",Ruben Fleischer,"Rhett Reese, Paul Wernick","Jesse Eisenberg, Emma Stone, Woody Harrelson","A shy student trying to reach his family in Ohio, a gun-toting bruiser in search of the last Twinkie and a pair of sisters striving to get to an amusement park join forces in a trek across a zombie-filled America.","English, Spanish, French",United States,10 wins & 29 nominations total,https://m.media-amazon.com/images/M/MV5BMTU5MDg0NTQ1N15BMl5BanBnXkFtZTcwMjA4Mjg3Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,7.5,"645,487",tt1156398,movie,N/A,"$75,590,286",N/A,N/A,True
King Kong,2005,PG-13,14 Dec 2005,187 min,"Action, Adventure, Romance",Peter Jackson,"Fran Walsh, Philippa Boyens, Peter Jackson","Naomi Watts, Jack Black, Adrien Brody","A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.",English,"United States, New Zealand, Germany",Won 3 Oscars. 47 wins & 104 nominations total,https://m.media-amazon.com/images/M/MV5BMWY0NWE0ZjUtNjRlOS00ZDViLTgxNTQtMGMwN2FhNDY1YTg2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,7.2,"459,475",tt0360717,movie,N/A,"$218,080,025",N/A,N/A,True
The Waterboy,1998,PG-13,06 Nov 1998,90 min,"Comedy, Sport",Frank Coraci,"Tim Herlihy, Adam Sandler","Adam Sandler, Kathy Bates, Henry Winkler",A waterboy for a college football team discovers he has a unique tackling ability and becomes a member of the team.,English,United States,6 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BZTQxMWE5ZTEtYzI1OC00NDdkLWI0YjUtMTk4NjU0YWI4YjY0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,6.2,"184,181",tt0120484,movie,N/A,"$161,491,646",N/A,N/A,True
Star Wars: Episode V - The Empire Strikes Back,1980,PG,18 Jun 1980,124 min,"Action, Adventure, Fantasy",Irvin Kershner,"Leigh Brackett, Lawrence Kasdan, George Lucas","Mark Hamill, Harrison Ford, Carrie Fisher","After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",English,United States,Won 1 Oscar. 27 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BMTkxNGFlNDktZmJkNC00MDdhLTg0MTEtZjZiYWI3MGE5NWIwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,8.7,"1,441,177",tt0080684,movie,N/A,"$292,753,960",N/A,N/A,True
Bad Boys,1995,R,07 Apr 1995,119 min,"Action, Comedy, Crime",Michael Bay,"George Gallo, Michael Barrie, Jim Mulholland","Will Smith, Martin Lawrence, Lisa Boyle",Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.,"English, Persian",United States,1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMWNjZWEwNDMtMWE1ZC00MTgwLTk2YzAtYmE0NTkwOWVhMDI0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,6.8,"305,716",tt0112442,movie,N/A,"$65,807,024",N/A,N/A,True
The Naked Gun 2½: The Smell of Fear,1991,PG-13,28 Jun 1991,85 min,"Comedy, Crime",David Zucker,"Jim Abrahams, David Zucker, Jerry Zucker","Leslie Nielsen, Priscilla Presley, George Kennedy",Lieutenant Frank Drebin discovers that his ex-girlfriend's new beau is involved in a plot to kidnap a scientist who advocates solar energy.,"English, Spanish",United States,2 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BNjcyNmNkMTItNzkzMi00NmY5LTg5MzQtMjg2YzRmOTY0ZmQ2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.9,"127,310",tt0102510,movie,N/A,"$86,930,411",N/A,N/A,True
Final Destination,2000,R,17 Mar 2000,98 min,"Horror, Thriller",James Wong,"Glen Morgan, James Wong, Jeffrey Reddick","Devon Sawa, Ali Larter, Kerr Smith","After getting a premonition about a plane crash on his school trip, Alex, a student, saves a few of his classmates. However, their situation gets complicated when death starts chasing them.","English, French","United States, Canada",3 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMjE1MjlmOWYtYzdjMS00OTgwLThjMDctZWU4N2FkZjgyNTJiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,6.7,"294,202",tt0195714,movie,N/A,"$53,331,147",N/A,N/A,True
The Ides of March,2011,R,07 Oct 2011,101 min,"Drama, Thriller",George Clooney,"George Clooney, Grant Heslov, Beau Willimon","Paul Giamatti, George Clooney, Philip Seymour Hoffman",An idealistic staffer for a new presidential candidate gets a crash course on dirty politics during his stint on the campaign trail.,English,United States,Nominated for 1 Oscar. 9 wins & 36 nominations total,https://m.media-amazon.com/images/M/MV5BNTU4MjkzNTY0OF5BMl5BanBnXkFtZTcwNDI5ODIxNg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,7.1,"232,994",tt1124035,movie,N/A,"$40,962,534",N/A,N/A,True
Pitch Black,2000,R,18 Feb 2000,109 min,"Horror, Sci-Fi, Thriller",David Twohy,"Jim Wheat, Ken Wheat, David Twohy","Radha Mitchell, Cole Hauser, Vin Diesel",A transport ship crashes and leaves its crew stranded on a desert planet inhabited by bloodthirsty creatures that come out during an eclipse.,"English, Arabic",United States,2 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BNGJlYjllOTUtZGRiNS00YmI4LTkxYmItYjBmYTdmZWZlMTMxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,7.0,"259,102",tt0134847,movie,N/A,"$39,240,659",N/A,N/A,True
Someone Like You,2001,PG-13,30 Mar 2001,97 min,"Comedy, Romance",Tony Goldwyn,"Laura Zigman, Elizabeth Chandler","Ashley Judd, Greg Kinnear, Hugh Jackman","After being jilted by her boyfriend, a talk show talent scout writes a column on the relationship habits of men which gains her national fame.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZGM5MWFmN2ItNDA1Zi00ODliLTgxMzMtNTJiNWYzZDY5ZDljXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",32,6.1,"28,004",tt0244970,movie,N/A,"$27,343,067",N/A,N/A,True
Her,2013,R,10 Jan 2014,126 min,"Drama, Romance, Sci-Fi",Spike Jonze,Spike Jonze,"Joaquin Phoenix, Amy Adams, Scarlett Johansson","In the near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",English,United States,Won 1 Oscar. 83 wins & 187 nominations total,https://m.media-amazon.com/images/M/MV5BMjA1Nzk0OTM2OF5BMl5BanBnXkFtZTgwNjU2NjEwMDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",91,8.0,"701,713",tt1798709,movie,N/A,"$25,568,251",N/A,N/A,True
Eddie the Eagle,2015,PG-13,26 Feb 2016,106 min,"Adventure, Biography, Comedy",Dexter Fletcher,"Simon Kelton, Sean Macaulay","Taron Egerton, Hugh Jackman, Tom Costello","The story of Eddie Edwards, the notoriously tenacious British underdog ski jumper who charmed the world at the 1988 Winter Olympics.","English, German, Norwegian","United Kingdom, Germany, United States",2 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BMTUxOTc5MTU1NF5BMl5BanBnXkFtZTgwODYyNTA1NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,7.3,"103,247",tt1083452,movie,N/A,"$15,789,389",N/A,N/A,True
Joy Ride,2001,R,05 Oct 2001,97 min,"Drama, Mystery, Thriller",John Dahl,"Clay Tarver, J.J. Abrams","Steve Zahn, Paul Walker, Leelee Sobieski","Three young people on a road trip from Colorado to New Jersey talk to a trucker on their CB radio, then must escape when he turns out to be a psychopathic killer.",English,United States,5 nominations total,https://m.media-amazon.com/images/M/MV5BMGQ5ZDYzODYtYzlhNi00YTk4LWIyMTQtNTlhNzk5N2ZlNmFhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,6.6,"78,921",tt0206314,movie,N/A,"$21,974,919",N/A,N/A,True
The Adventurer: The Curse of the Midas Box,2013,PG,05 Dec 2013,100 min,"Adventure, Family, Fantasy",Jonathan Newman,"Christian Taylor, Matthew Huffman, G.P. Taylor","Aneurin Barnard, Michael Sheen, Lena Headey",Ancient mysteries. Powerful evil. And a fearless hero's quest through a fantastical realm of steam-powered wonders and sinister magic...,English,"United Kingdom, Spain, Belgium",N/A,https://m.media-amazon.com/images/M/MV5BNTAwODA2NDUxMF5BMl5BanBnXkFtZTgwNTgyNDc1MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,5.5,"7,324",tt1376213,movie,N/A,"$6,399",N/A,N/A,True
Anywhere But Here,1999,PG-13,12 Nov 1999,114 min,"Comedy, Drama",Wayne Wang,"Mona Simpson, Alvin Sargent","Susan Sarandon, Natalie Portman, Hart Bochner",A mother and daughter search for success in Beverly Hills.,English,United States,1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BN2Y4YzE3MTYtMzhmZS00NTExLWEzZDctOTA3MmQ1NTdlMGM3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,6.2,"18,962",tt0149691,movie,N/A,"$18,670,401",N/A,N/A,True
Chasing Liberty,2004,PG-13,09 Jan 2004,111 min,"Comedy, Romance",Andy Cadiff,"Derek Guiley, David Schneiderman","Mandy Moore, Matthew Goode, Mark Harmon",Anna wants to be like other girls her age (18): date a guy etc. but she's the US president's daughter and always guarded. In Prague he breaks his promise of only 2 agents following her to a concert and she runs away with Ben to se...,"English, French, German, Hebrew, Italian, Spanish","United States, United Kingdom, Czech Republic, Italy",5 nominations,https://m.media-amazon.com/images/M/MV5BMTU2MTg5NDg4N15BMl5BanBnXkFtZTYwMjQ1NDI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,6.1,"41,422",tt0360139,movie,28 Sep 2004,"$12,195,626",N/A,N/A,True
The Crew,2000,PG-13,25 Aug 2000,88 min,"Comedy, Crime",Michael Dinner,Barry Fanaro,"Richard Dreyfuss, Burt Reynolds, Dan Hedaya",Four retired mobsters plan one last crime to save their retirement home.,"English, Spanish",United States,1 win,https://m.media-amazon.com/images/M/MV5BOWIxYWExZGQtMjA1Mi00ZWMxLWFlMTItMTVmOGE0NmUyNTA5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37,5.6,"6,743",tt0198386,movie,N/A,"$13,023,075",N/A,N/A,True
Haywire,2011,R,20 Jan 2012,93 min,"Action, Drama, Thriller",Steven Soderbergh,Lem Dobbs,"Gina Carano, Ewan McGregor, Michael Fassbender",A black ops super soldier seeks payback after she is betrayed and set up during a mission.,"English, Spanish","Ireland, United States",7 nominations total,https://m.media-amazon.com/images/M/MV5BODU3NGI0ZTctODBhYS00Y2ZmLThkZjYtMWI2YTlkMmM2ZmFlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,5.8,"90,686",tt1506999,movie,N/A,"$18,942,396",N/A,N/A,True
